materia,edicao,tema,enunciado,alt_a,alt_b,alt_c,alt_d,correta,comentario
"administrativo","XXXI","Mandado de Segurança e Recurso Administrativo","A autoridade competente, em âmbito federal, no regular exercício do poder de polícia, aplicou à sociedade empresária Soneca S/A multa em razão do descumprimento das normas administrativas pertinentes. Inconformada, a sociedade Soneca S/A apresentou recurso administrativo, ao qual foi conferido efeito suspensivo, sendo certo que não sobreveio qualquer manifestação do superior hierárquico responsável pelo julgamento, após o transcurso do prazo de oitenta dias. Considerando o contexto descrito, assinale a afirmativa correta.","Não se concederá Mandado de Segurança para invalidar a penalidade de multa aplicada a Soneca S/A, submetida a recurso administrativo provido de efeito suspensivo.","O ajuizamento de qualquer medida judicial por Soneca S/A depende do esgotamento da via administrativa.","Não há mora da autoridade superior hierárquica, que, por determinação legal, dispõe do prazo de noventa dias para decidir.","A omissão da autoridade competente em relação ao seu dever de decidir, ainda que se prolongue por período mais extenso, não enseja a concessão de Mandado de Segurança.","A","Conforme art. 5º, I, da Lei 12.016/2009: Art. 5º Não se concederá mandado de segurança quando se tratar: I - de ato do qual caiba recurso administrativo com efeito suspensivo, independentemente de caução; Portanto, encontra-se correta a ""alternativa A"", pois não se concederá Mandado de Segurança para invalidar a penalidade de multa aplicada a Soneca S/A, submetida a recurso administrativo provido de efeito suspensivo."
"administrativo","XXXI","Intervenção em Concessão","O Município Beta concedeu a execução do serviço público de veículos leves sobre trilhos e, ao verificar que a concessionária não estava cumprindo adequadamente as obrigações determinadas no respectivo contrato, considerou tomar as providências cabíveis para a regularização das atividades em favor dos usuários. Nesse caso,","impõe-se a encampação, mediante a retomada do serviço pelo Município Beta, sem o pagamento de indenização.","a hipótese é de caducidade a ser declarada pelo Município Beta, mediante decreto, que independe da verificação prévia da inadimplência da concessionária.","cabe a revogação do contrato administrativo pelo Município Beta, diante da discricionariedade e precariedade da concessão, formalizada por mero ato administrativo.","é possível a intervenção do Município Beta na concessão, com o fim de assegurar a adequada prestação dos serviços, por decreto do poder concedente, que conterá designação do interventor, o prazo, os objetivos e os limites da medida.","D","Consoante o art. 32, caput e parágrafo único, da Lei 8.987/95: ""Art. 32. O poder concedente poderá intervir na concessão, com o fim de assegurar a adequação na prestação do serviço, bem como o fiel cumprimento das normas contratuais, regulamentares e legais pertinentes. Parágrafo único. A intervenção far-se-á por decreto do poder concedente, que conterá a designação do interventor, o prazo da intervenção e os objetivos e limites da medida."""
"administrativo","XXXI","Desapropriação por Utilidade Pública","Diante da necessidade de construção de uma barragem no Município Alfa, a ser efetuada em terreno rural de propriedade de certa sociedade de economia mista federal, o Poder Legislativo local fez editar uma lei para declarar a desapropriação por utilidade pública, após a autorização por decreto do Presidente da República, sendo certo que, diante do sucesso das tratativas entre os chefes do Executivo dos entes federativos em questão, foi realizado acordo na via administrativa para ultimar tal intervenção do Estado na propriedade. Diante dessa situação hipotética, assinale a afirmativa correta.","A autorização por decreto não pode viabilizar a desapropriação do bem em questão pelo Município Alfa, porque os bens federais não são expropriáveis.","A iniciativa do Poder Legislativo do Município Alfa para declarar a desapropriação é válida, cumprindo ao respectivo Executivo praticar os atos necessários para sua efetivação.","A intervenção na propriedade em tela não pode ser ultimada na via administrativa, mediante acordo entre os entes federativos envolvidos.","O Município Alfa não tem competência para declarar a desapropriação por utilidade pública de propriedades rurais.","B","A questão exigia o conhecimento da letra de lei, mais especificamente do art. 8º da Lei 8.987/95, que assim dispõe: Art. 8º O Poder Legislativo poderá tomar a iniciativa da desapropriação, cumprindo, neste caso, ao Executivo, praticar os atos necessários à sua efetivação."
"administrativo","XXXI","Responsabilidade Civil da Concessionária","Rafael, funcionário da concessionária prestadora do serviço público de fornecimento de gás canalizado, realizava reparo na rede subterrânea, quando deixou a tampa do bueiro aberta, sem qualquer sinalização, causando a queda de Sônia, transeunte que caminhava pela calçada. Sônia, que trabalha como faxineira diarista, quebrou o fêmur da perna direita em razão do ocorrido e ficou internada no hospital por 60 dias, sem poder trabalhar. Após receber alta, Sônia procurou você, como advogado(a), para ajuizar ação indenizatória em face","da concessionária, com base em sua responsabilidade civil objetiva, para cuja configuração é desnecessária a comprovação de dolo ou culpa de Rafael.","do Estado, como poder concedente, com base em sua responsabilidade civil direta e subjetiva, para cuja configuração é prescindível a comprovação de dolo ou culpa de Rafael.","de Rafael, com base em sua responsabilidade civil direta e objetiva, para cuja configuração é desnecessária a comprovação de ter agido com dolo ou culpa, assegurado o direito de regresso contra a concessionária.","do Município, como poder concedente, com base em sua responsabilidade civil objetiva, para cuja configuração é imprescindível a comprovação de dolo ou culpa de Rafael.","A","A responsabilidade civil da concessionária de Serviços Públicos por danos causados a terceiros é direta. Conforme art. 25, caput, da Lei 8.987/95: Art. 25. Incumbe à concessionária a execução do serviço concedido, cabendo-lhe responder por todos os prejuízos causados ao poder concedente, aos usuários ou a terceiros, sem que a fiscalização exercida pelo órgão competente exclua ou atenue essa responsabilidade. Além da responsabilidade ser direta, ela é objetiva, ou seja, o dever de indenizar independe de conduta culposa ou dolosa por parte do agente público causador dos danos. Conforme art. 37, §6º, da CRFB/88: Art. 37 § 6º As pessoas jurídicas de direito público e as de direito privado prestadoras de serviços públicos responderão pelos danos que seus agentes, nessa qualidade, causarem a terceiros, assegurado o direito de regresso contra o responsável nos casos de dolo ou culpa."
"ambiental","XXXI","Responsabilidade Ambiental","Seguindo plano de expansão de seu parque industrial para a produção de bebidas, o conselho de administração da sociedade empresária Frescor S/A autoriza a destruição de parte de floresta inserida em Área de Preservação Permanente, medida que se consuma na implantação de nova fábrica. Sobre responsabilidade ambiental, tendo como referência a hipótese narrada, assinale a afirmativa correta.","Frescor S/A responde civil e administrativamente, sendo excluída a responsabilidade penal por ter a decisão sido tomada por órgão colegiado da sociedade.","Frescor S/A responde civil e administrativamente, uma vez que não há tipificação criminal para casos de destruição de Área de Preservação Permanente, mas apenas de Unidades de Conservação.","Frescor S/A responde civil, administrativa e penalmente, sendo a ação penal pública, condicionada à prévia apuração pela autoridade ambiental competente.","Frescor S/A responde civil, administrativa e penalmente, sendo agravante da pena a intenção de obtenção de vantagem pecuniária.","D","A Lei dos Crimes Ambientais, de nº 9.605/98, dispõe acerca da destruição de florestas em áreas de Preservação Permanente e da responsabilização por esse ilícito em seus artigos 38 e 15. Observa-se o texto dos referidos artigos: Dos Crimes contra a Flora: Art. 38. Destruir ou danificar floresta considerada de preservação permanente, mesmo que em formação, ou utilizá-la com infringência das normas de proteção: Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime: II - ter o agente cometido a infração: a) para obter vantagem pecuniária; Entende-se, então, que a Frescor S/A responderá no âmbito civil, administrativo e também penal, devido ao objetivo pecuniário pretendido pela empresa."
"ambiental","XXXI","Estudo de Impacto Ambiental","Efeito Estufa Ltda., sociedade empresária que atua no processamento de alimentos, pretende instalar nova unidade produtiva na área urbana do Município de Ar Puro, inserida no Estado Y. Para esse fim, verificou que a autoridade competente para realizar o licenciamento ambiental será a do próprio Município de Ar Puro. Sobre o caso, assinale a opção que indica quem deve realizar o estudo de impacto ambiental.","O Município de Ar Puro.","O Estado Y.","O IBAMA.","Profissionais legalmente habilitados, às expensas do empreendedor.","D","A questão trata dos estudos e avaliações de impactos ambientais. Observando a resolução do CONAMA 01/1986, entende-se que o estudo de impacto ambiental deve ser financiado pelo proponente do projeto. Lê-se tal dispositivo: Art. 8º Correrão por conta do proponente do projeto todas as despesas e custos referentes à realização do estudo de impacto ambiental, tais como: coleta e aquisição dos dados e informações, trabalhos e inspeções de campo, análises de laboratório, estudos técnicos e científicos e acompanhamento e monitoramento dos impactos, elaboração do RIMA e fornecimento de pelo menos 5 (cinco) cópias. Desse modo, entende-se que a Efeito Estufa Ltda. Deve financiar a realização do estudo de impacto ambiental, o qual será guiado por profissionais aptos e legalmente habilitados a fazê-lo."
"civil","XXXI","Negócio Jurídico Viciado","João, único herdeiro de seu avô Leonardo, recebeu, por ocasião da abertura da sucessão deste último, todos os seus bens, inclusive uma casa repleta de antiguidades. Necessitando de dinheiro para quitar suas dívidas, uma das primeiras providências de João foi alienar uma pintura antiga que sempre estivera exposta na sala da casa, por um valor módico, ao primeiro comprador que encontrou. João, semanas depois, leu nos jornais a notícia de que reaparecerá no mercado de arte uma pintura valiosíssima de um célebre artista plástico. Sua surpresa foi enorme ao descobrir que se tratava da pintura que ele alienara, com valor milhares de vezes maior do que o por ela cobrado. Por isso, pretende pleitear a invalidação da alienação. A respeito do caso narrado, assinale a afirmativa correta.","O negócio jurídico de alienação da pintura celebrado por João está viciado por lesão e chegou a produzir seus efeitos regulares, no momento de sua celebração.","O direito de João a obter a invalidação do negócio jurídico, por erro, de alienação da pintura, não se sujeita a nenhum prazo prescricional","A validade do negócio jurídico de alienação da pintura subordina-se necessariamente à prova de que o comprador desejava se aproveitar de sua necessidade de obter dinheiro rapidamente.","Se o comprador da pintura oferecer suplemento do preço pago de acordo com o valor de mercado da obra, João poderá optar entre aceitar a oferta ou invalidar o negócio.","A","Código Civil: Art. 157. Ocorre a lesão quando uma pessoa, sob premente necessidade, ou por inexperiência, se obriga a prestação manifestamente desproporcional ao valor da prestação oposta. Art. 178. É de quatro anos o prazo de decadência para pleitear-se a anulação do negócio jurídico, contado: II - no de erro, dolo, fraude contra credores, estado de perigo ou lesão, do dia em que se realizou o negócio jurídico; O negócio jurídico está viciado em função de lesão a uma das partes."
"civil","XXXI","Obrigação Alimentar","Salomão, solteiro, sem filhos, 65 anos, é filho de Lígia e Célio, que faleceram recentemente e eram divorciados. Ele é irmão de Bernardo, 35 anos, médico bem-sucedido, filho único do segundo casamento de Lígia. Salomão, por circunstâncias sociais, não mantinha contato com Bernardo. Em razão de uma deficiência física, Salomão nunca exerceu atividade laborativa e sempre morou com o pai, Célio, até o falecimento deste. Com frequência, seu primo Marcos, comerciante e grande amigo, o visita. Com base no caso apresentado, assinale a opção que indica quem tem obrigação de pagar alimento a Salomão.","Marcos é obrigado a pagar alimentos a Salomão, no caso de necessidade deste.","Por ser irmão unilateral, Bernardo não deve, em hipótese alguma, alimentos a Salomão.","Bernardo, no caso de necessidade de Salomão, deve arcar com alimentos.","Bernardo e Marcos deverão dividir alimentos, entre ambos, de forma igualitária.","C","Bernardo, no caso de necessidade de Salomão, deve arcar com alimentos. Nesse sentido, vide Código Civil: Art. 1.697. Na falta dos ascendentes cabe a obrigação aos descendentes, guardada a ordem de sucessão e, faltando estes, aos irmãos, assim germanos como unilaterais."
"civil","XXXI","Venda e Doação entre Ascendente e Descendente","Antônio, divorciado, proprietário de três imóveis devidamente registrados no RGI, de valores de mercado semelhantes, decidiu transferir onerosamente um de seus bens ao seu filho mais velho, Bruno, que mostrou interesse na aquisição por valor próximo ao de mercado. No entanto, ao consultar seus dois outros filhos (irmãos do pretendente comprador), um deles, Carlos, opôs-se à venda. Diante disso, bastante chateado com a atitude de Carlos, seu filho que não concordou com a compra e venda do imóvel, decidiu realizar uma doação a favor de Bruno. Em face do exposto, assinale a afirmativa correta.","A compra e venda de ascendente para descendente só pode ser impedida pelos demais descendentes e pelo cônjuge, se a oposição for unânime.","Não há, na ordem civil, qualquer impedimento à realização de contrato de compra e venda de pai para filho, motivo pelo qual a oposição feita por Carlos não poderia gerar a anulação do negócio.","Antônio não poderia, como reação à legítima oposição de Carlos, promover a doação do bem para um de seus filhos (Bruno), sendo tal contrato nulo de pleno direito.","É legítima a doação de ascendentes para descendente, independentemente da anuência dos demais, eis que o ato importa antecipação do que lhe cabe na herança.","D","Código Civil: Art. 544. A doação de ascendentes a descendentes, ou de um cônjuge a outro, importa adiantamento do que lhes cabe por herança. É legítima a doação de ascendentes para descendente, independentemente da anuência dos demais, eis que o ato importa antecipação do que lhe cabe na herança."
"civil","XXXI","Emancipação","Márcia, adolescente com 17 anos de idade, sempre demonstrou uma maturidade muito superior à sua faixa etária. Seu maior objetivo profissional é o de tornar-se professora de História e, por isso, decidiu criar um canal em uma plataforma on-line, na qual publica vídeos com aulas por ela própria elaboradas sobre conteúdos históricos. O canal tornou-se um sucesso, atraindo multidões de jovens seguidores e despertando o interesse de vários patrocinadores, que começaram a procurar a jovem, propondo contratos de publicidade. Embora ainda não tenha obtido nenhum lucro com o canal, Márcia está animada com a perspectiva de conseguir custear seus estudos na Faculdade de História se conseguir firmar alguns desses contratos. Para facilitar as atividades da jovem, seus pais decidiram emancipá-la, o que permitirá que celebre negócios com futuros patrocinadores com mais agilidade. Sobre o ato de emancipação de Márcia por seus pais, assinale a afirmativa correta.","Depende de homologação judicial, tendo em vista o alto grau de exposição que a adolescente tem na internet.","Não tem requisitos formais específicos, podendo ser concedida por instrumento particular.","Deve, necessariamente, ser levado a registro no cartório competente do Registro Civil de Pessoas Naturais.","É nulo, pois ela apenas poderia ser emancipada caso já contasse com economia própria, o que ainda não aconteceu.","C","Código Civil: Art. 5º. Parágrafo único. Cessará, para os menores, a incapacidade: I - pela concessão dos pais, ou de um deles na falta do outro, mediante instrumento público, independentemente de homologação judicial, ou por sentença do juiz, ouvido o tutor, se o menor tiver dezesseis anos completos; Art. 9º Serão registrados em registro público: II - a emancipação por outorga dos pais ou por sentença do juiz; Deve, necessariamente, ser levado a registro no cartório competente do Registro Civil de Pessoas Naturais."
"civil","XXXI","Comunhão Parcial de Bens","Aldo e Mariane são casados sob o regime da comunhão parcial de bens, desde setembro de 2013. Em momento anterior ao casamento, Rubens, pai de Mariane, realizou a doação de um imóvel à filha. Desde então, a nova proprietária acumula os valores que lhe foram pagos pelos locatários do imóvel. No ano corrente, alguns desentendimentos fizeram com que Mariane pretendesse se divorciar de Aldo. Para tal finalidade, procurou um advogado, informando que a soma dos aluguéis que lhe foram pagos desde a doação do imóvel totalizava R$ 150.000,00 (cento e cinquenta mil reais), sendo que R$ 50.000,00 (cinquenta mil reais) foram auferidos antes do casamento e o restante, após. Mariane relatou, ainda, que atualmente o imóvel se encontra vazio, sem locatários. Sobre essa situação e diante de eventual divórcio, assinale a afirmativa correta.","Quanto aos aluguéis, Aldo tem direito à meação sob o total dos valores.","Tendo em vista que o imóvel locado por Mariane é seu bem particular, os aluguéis por ela auferidos não se comunicam com Aldo.","Aldo tem direito à meação dos valores recebidos por Mariane, durante o casamento, a título de aluguel.","Aldo faz jus à meação tanto sobre a propriedade do imóvel doado a Mariane por Rubens, quanto sobre os valores recebidos a título de aluguel desse imóvel na constância do casamento.","C","Código Civil: Art. 1.660. Entram na comunhão: V - os frutos dos bens comuns, ou dos particulares de cada cônjuge, percebidos na constância do casamento, ou pendentes ao tempo de cessar a comunhão. Aldo tem direito à meação dos valores recebidos por Mariane, durante o casamento, a título de aluguel."
"civil","XXXI","Renúncia da Herança","Arnaldo faleceu e deixou os filhos Roberto e Álvaro. No inventário judicial de Arnaldo, Roberto, devedor contumaz na praça, renunciou à herança, em 05/11/2019, conforme declaração nos autos. Considerando que o falecido não deixou testamento e nem dívidas a serem pagas, o valor líquido do monte a ser partilhado era de R$ 100.000,00 (cem mil reais). Bruno é primo de Roberto e também seu credor no valor de R$ 30.000,00 (trinta mil reais). No dia 09/11/2019, Bruno tomou conhecimento da manifestação de renúncia supracitada e, no dia 29/11/2019, procurou um advogado para tomar as medidas cabíveis. Sobre esta situação, assinale a afirmativa correta.","Em nenhuma hipótese Bruno poderá contestar a renúncia da herança feita por Roberto.","Bruno poderá aceitar a herança em nome de Roberto, desde que o faça no prazo de quarenta dias seguintes ao conhecimento do fato.","Bruno poderá, mediante autorização judicial, aceitar a herança em nome de Roberto, recebendo integralmente o quinhão do renunciante.","Bruno poderá, mediante autorização judicial, aceitar a herança em nome de Roberto, no limite de seu crédito.","D","Lê-se o artigo 1.813 do Código Civil, o qual dispõe sobre a renúncia da herança: Art. 1.813. Quando o herdeiro prejudicar os seus credores, renunciando à herança, poderão eles, com autorização do juiz, aceitá-la em nome do renunciante. §2º Pagas as dívidas do renunciante, prevalece a renúncia quanto ao remanescente, que será devolvido aos demais herdeiros. Desse modo, entende-se que Bruno – enquanto credor de Roberto – detém o direito de aceitar a herança em nome deste após obter autorização judicial, desde que respeitando os limites do seu crédito."
"eca","XXXI","Medidas Socioeducativas","O adolescente João, com 16 anos completos, foi apreendido em flagrante quando praticava ato infracional análogo ao crime de furto. Devidamente conduzido o processo, de forma hígida, ele foi sentenciado ao cumprimento de medida socioeducativa de 1 ano, em regime de semiliberdade. Sobre as medidas socioeducativas aplicadas a João, assinale a afirmativa correta.","A medida de liberdade assistida será fixada pelo prazo máximo de 6 meses, sendo que, ao final de tal período, caso João não se revele suficientemente ressocializado, a medida será convolada em internação.","A medida aplicada foi equivocada, pois deveria ter sido, necessariamente, determinada a internação de João.","No regime de semiliberdade, João poderia sair da instituição para ocupações rotineiras de trabalho e estudo, sem necessidade de autorização judicial.","A medida aplicada foi equivocada, pois não poderia, pelo fato análogo ao furto, ter a si aplicada medida diversa da liberdade assistida.","C","Conforme dispõe o artigo 120, do Estatuto, a realização de atividades externas, no regime de semiliberdade, independe de autorização judicial. Art. 120, ECA. O regime de semiliberdade pode ser determinado desde o início, ou como forma de transição para o meio aberto, possibilitada a realização de atividades externas, independentemente de autorização judicial."
"eca","XXXI","Infração Administrativa por Omissão","Maria chega à maternidade já em trabalho de parto, sendo atendida emergencialmente. Felizmente, o parto ocorre sem problemas e Maria dá à luz, Fernanda. No mesmo dia do parto, a enfermeira Cláudia escuta a conversa entre Maria e uma amiga que a visitava, na qual Maria oferecia Fernanda a essa amiga em adoção, por não se sentir preparada para a maternidade. Preocupada com a conversa, Cláudia a relata ao médico obstetra de plantão, Paulo, o qual, por sua vez, noticia o ocorrido a Carlos, diretor-geral do hospital. Naquela noite, já recuperada, Maria e a mesma amiga vão embora da maternidade, sem que nada tenha ocorrido e nenhuma providência tenha sido tomada por qualquer dos personagens envolvidos – Cláudia, Paulo ou Carlos. Diante dos fatos acima, assinale a afirmativa correta.","Não foi cometida qualquer infração, porque a adoção irregular não se consumou no âmbito da maternidade.","Carlos cometeu infração administrativa, consubstanciada no não encaminhamento do caso à autoridade judiciária, porque somente o diretor do hospital pode fazê-lo.","Carlos e Paulo não cometeram infração administrativa ao não encaminharem o caso à autoridade judiciária, porque não cabe ao corpo médico tal atribuição.","Carlos, Paulo e Cláudia cometeram infração administrativa por não encaminharem o caso de que tinham conhecimento para a autoridade judiciária.","D","Esta imposição consubstancia-se no artigo 258-B, do ECA, vejamos: Art. 258-B, ECA. Deixar o médico, enfermeiro ou dirigente de estabelecimento de atenção à saúde de gestante de efetuar imediato encaminhamento à autoridade judiciária de caso de que tenha conhecimento de mãe ou gestante interessada em entregar seu filho para adoção: Pena - multa de R$ 1.000,00 (mil reais) a R$ 3.000,00 (três mil reais). Parágrafo único. Incorre na mesma pena o funcionário de programa oficial ou comunitário destinado à garantia do direito à convivência familiar que deixa de efetuar a comunicação referida no caput deste artigo."
"consumidor","XXXI","Planos de Saúde e Cobertura","O médico de João indicou a necessidade de realizar a cirurgia de gastroplastia (bariátrica) como tratamento de obesidade mórbida, com a finalidade de reduzir peso. Posteriormente, o profissional de saúde explicou a necessidade de realizar a cirurgia plástica pós-gastroplastia, visando à remoção de excesso epitelial que comumente acomete os pacientes nessas condições, impactando a qualidade de vida daquele que deixou de ser obeso mórbido. Nesse caso, nos termos do Código de Defesa do Consumidor e do entendimento do STJ, o plano de saúde de João:","terá que custear ambas as cirurgias, porque configuram tratamentos, sendo a cirurgia plástica medida reparadora; portanto, terapêutica.","terá que custear apenas a cirurgia de gastroplastia, e não a plástica, considerada estética e excluída da cobertura dos planos de saúde.","não terá que custear as cirurgias, exceto mediante previsão contratual expressa para esses tipos de procedimentos.","não terá que custear qualquer das cirurgias até que passem a integrar o rol de procedimentos da ANS, competente para a regulação das coberturas contratuais.","A","O entendimento jurisprudencial recente do Superior Tribunal de Justiça estabelece que: ""Não basta a operadora do plano de assistência médica se limitar ao custeio da cirurgia bariátrica para suplantar a obesidade mórbida, mas as resultantes dobras de pele ocasionadas pelo rápido emagrecimento também devem receber atenção terapêutica, já que podem provocar diversas complicações de saúde, a exemplo da candidíase de repetição, infecções bacterianas devido às escoriações pelo atrito, odores e hérnias, não qualificando, na hipótese, a retirada do excesso de tecido epitelial procedimento unicamente estético, ressaindo sobremaneira o seu caráter funcional e reparador."" (STJ - RESP: 1757938 DF 2018/0057485-6)"
"consumidor","XXXI","Responsabilidade Solidária na Cadeia de Fornecimento","Adriano, por meio de um site especializado, efetuou reserva de hotel para estadia com sua família em praia caribenha. A reserva foi imediata confirmada pelo site, um mês antes das suas férias, quando fariam a viagem. Ocorre que, dez dias antes do embarque, o site especializado comunicou a Adriano que o hotel havia informado o cancelamento da contratação por erro no parcelamento com o cartão de crédito. Adriano, então, buscou nova compra do serviço, mas os valores estavam cerca de 30% mais caros do que na contratação inicial, com o qual anuiu por não ser mais possível alterar a data de suas férias. Ao retornar de viagem, Adriano procurou você, como advogado(a), a fim de saber se seria possível a restituição dessa diferença de valores. Neste caso, é correto afirmar que o ressarcimento da diferença arcada pelo consumidor:","poderá ser buscado em face exclusivamente do hotel, fornecedor que cancelou a contratação.","poderá ser buscado em face do site de viagens e do hotel, que respondem solidariamente, por comporem a cadeia de fornecimento do serviço.","não poderá ser revisto, porque o consumidor tinha o dever de confirmar a compra em sua fatura de cartão de crédito.","poderá ser revisto, sendo a responsabilidade exclusiva do site de viagens, com base na teoria da aparência, respondendo o hotel apenas subsidiariamente.","B","Trata-se de questão acerca da responsabilidade pelo dever de reparar e da proteção contratual do consumidor. Esta matéria possui disciplina no artigo 7º do Código de Defesa do Consumidor: Art. 7º, CDC. Os direitos previstos neste código não excluem outros decorrentes de tratados ou convenções internacionais de que o Brasil seja signatário, da legislação interna ordinária, de regulamentos expedidos pelas autoridades administrativas competentes, bem como dos que derivem dos princípios gerais do direito, analogia, costumes e equidade. Parágrafo único. Tendo mais de um autor a ofensa, todos responderão solidariamente pela reparação dos danos previstos nas normas de consumo."
"empresarial","XXXI","Sucessão por Morte na Sociedade Limitada","No contrato da sociedade empresária Arealva Calçados Finos Ltda., não consta cláusula de regência supletiva pelas disposições de outro tipo societário. Ademais, tanto no contrato social quanto nas disposições legais relativas ao tipo adotado pela sociedade não há norma regulando a sucessão por morte de sócio. Diante da situação narrada, assinale a afirmativa correta.","Haverá resolução da sociedade em relação ao sócio em caso de morte.","Haverá transmissão causa mortis da quota social.","Caberá aos sócios remanescentes regular a substituição do sócio falecido.","Os sócios serão obrigados a incluir, no contrato, cláusula dispondo sobre a sucessão por morte de sócio.","A","Como o enunciado da questão determina que, uma vez que não há previsão de regência supletiva da sociedade limitada no contrato social, aplica-se o artigo 1053º do Código Civil, que prevê: ""A sociedade limitada rege-se, nas omissões deste Capítulo, pelas normas da sociedade simples."" Nesse sentido, tem-se que, no caso de falecimento do sócio, a regra é a liquidação da sua quota, como determinado no artigo 1028º desse Código: No caso de morte de sócio, liquidar-se-á sua quota, salvo: I - se o contrato dispuser diferentemente; II - se os sócios remanescentes optarem pela dissolução da sociedade; III - se, por acordo com os herdeiros, regular-se a substituição do sócio falecido."
"empresarial","XXXI","Integralização do Capital Social","Anadia e Deodoro são condôminos de uma quota de sociedade limitada no valor de R$ 13.000,00 (treze mil reais). Nem a quota nem o capital da sociedade – fixado em R$ 50.000,00 (cinquenta mil reais) – se encontram integralizados. Você é consultado(a), como advogado(a), sobre a possibilidade de a sociedade demandar os condôminos para que integralizem a referida quota. Assinale a opção que apresenta a resposta correta.","Eles são obrigados à integralização apenas a partir da decretação de falência da sociedade.","Eles não são obrigados à integralização, pelo fato de serem condôminos de quota indivisa.","Eles são obrigados à integralização, porque todos os sócios, mesmo os condôminos, devem integralizar o capital.","Eles não são obrigados à integralização, porque o capital da sociedade é inferior a 100 salários mínimos.","C","O artigo 1052º do Código Civil determina: ""Na sociedade limitada, a responsabilidade de cada sócio é restrita ao valor de suas quotas, mas todos respondem solidariamente pela integralização do capital social."" Dessa forma, todos os sócios são responsáveis pela integralização do capital da sociedade limitada, como explicitamente previsto na alternativa ""C""."
"empresarial","XXXI","Responsabilidade no Trespassamento","As sociedades empresárias Y e J celebraram contrato tendo por objeto a alienação do estabelecimento da primeira, situado em Antônio Dias/MG. Na data da assinatura do contrato, dentre outros débitos regularmente contabilizados, constava uma nota promissória vencida havia três meses no valor de R$ 25.000,00 (vinte e cinco mil reais). O contrato não tem nenhuma cláusula quanto à existência de solidariedade entre as partes, tanto pelos débitos vencidos quanto pelos vincendos. Sabendo-se que, em 15/10/2018, após averbação na Junta Comercial competente, houve publicação do contrato na imprensa oficial e, tomando por base comparativa o dia 15/01/2020, o alienante","responderá pelo débito vencido com o adquirente por não terem decorrido cinco anos da publicação do contrato na imprensa oficial.","não responderá pelo débito vencido com o adquirente em razão de não ter sido estipulada tal solidariedade no contrato.","responderá pelo débito vencido com o adquirente até a ocorrência da prescrição relativa à cobrança da nota promissória.","não responderá pelo débito vencido com o adquirente diante do decurso de mais de 1 (um) ano da publicação do contrato na imprensa oficial.","D","De acordo com o Código Civil, o adquirente torna-se responsável pelos débitos anteriores à transferência, desde que regularmente contabilizados: Art. 1.146. O adquirente do estabelecimento responde pelo pagamento dos débitos anteriores à transferência, desde que regularmente contabilizados, continuando o devedor primitivo solidariamente obrigado pelo prazo de um ano, a partir, quanto aos créditos vencidos, da publicação, e, quanto aos outros, da data do vencimento. Como a questão afirma que o débito contraído por Y fora regularmente contabilizado e transcorreu mais de um ano desde a publicação do contrato, J fica responsável solidariamente pelo débito, em razão dessa previsão legal, independentemente de estipulação contratual."
"empresarial","XXXI","Contrato de Agência","Duas sociedades empresárias celebraram contrato de agência com uma terceira sociedade empresária, que assumiu a obrigação de, em caráter não eventual e sem vínculos de dependência com as proponentes, promover, à conta das primeiras, mediante retribuição, a realização de certos negócios, em zona determinada, caracterizando-se a distribuição quando o agente tiver à sua disposição a coisa a ser negociada. Ficou pactuado que as proponentes conferirão poderes à agente para que esta as represente, como mandatária, na conclusão dos contratos. Antônio Prado, sócio de uma das sociedades empresárias contratantes, consulta seu advogado quanto à legalidade do contrato, notadamente da delimitação de zona geográfica e da concessão de mandato ao agente. Sobre a hipótese apresentada, considerando as disposições legais relativas ao contrato de agência, assinale a afirmativa correta.","Não há ilegalidade quanto à delimitação de zona geográfica para atuação exclusiva do agente, bem como em relação à possibilidade de ser o agente mandatário das proponentes, por serem características do contrato de agência.","Há ilegalidade na fixação de zona determinada para atuação exclusiva do agente, por ferir a livre concorrência entre agentes, mas não há ilegalidade na outorga de mandato ao agente para representação das proponentes.","Há ilegalidade tanto na outorga de mandato ao agente para representação dos proponentes, por ser vedada qualquer relação de dependência entre agente e proponente, e também quanto à fixação de zona determinada para atuação exclusiva do agente.","Não há ilegalidade quanto à fixação de zona determinada para atuação exclusiva do agente, mas há ilegalidade quanto à concessão de mandato do agente, porque é obrigatório por lei que o agente apenas faça a mediação dos negócios no interesse do proponente.","A","Como a questão trata de contratos, tem-se a disposição do Código Civil: Art. 710. Pelo contrato de agência, uma pessoa assume, em caráter não eventual e sem vínculos de dependência, a obrigação de promover, à conta de outra, mediante retribuição, a realização de certos negócios, em zona determinada, caracterizando-se a distribuição quando o agente tiver à sua disposição a coisa a ser negociada. Parágrafo único. O proponente pode conferir poderes ao agente para que este o represente na conclusão dos contratos."
